(about, sobre)
(appear, aparecer)
(are, son)
(ask, preguntar)
(asked, preguntó)
(become, llegar a ser)
(begin, empezar)
(believe, creer)
(bring, traer)
(build, construir)
(buy, comprar)
(call, llamar)
(can, puede)
(change, cambiar)
(come, venir)
(consider, considerar)
(continue, continuar)
(could, podría)
(create, crear)
(cut, cortar)
(decide, decidir)
(did, hizo)
(die, morir)
(do, hacer)
(does, hace)
(dog, perro)
(expect, esperar)
(fall, caer)
(feel, sentir)
(find, encontrar)
(follow, seguir)
(get, obtener)
(give, dar)
(go, ir)
(goes, va)
(grow, crecer)
(had, tenía)
(happen, suceder)
(has, tiene)
(have, tener)
(he, él)
(hear, escuchar)
(help, ayudar)
(her, su)
(his, su)
(homework, tarea)
(house, casa)
(i, yo)
(include, incluir)
(is, es)
(it, eso)
(keep, mantener)
(kill, matar)
(know, saber)
(lead, guiar)
(learn, aprender)
(leave, dejar)
(let, permitir)
(live, vivir)
(look, mirar)
(lose, perder)
(make, hacer)
(me, me)
(mean, significar)
(meet, conocer)
(move, mover)
(my, mi)
(need, necesitar)
(offer, ofrecer)
(open, abrir)
(our, nuestro)
(pass, pasar)
(pay, pagar)
(play, jugar)
(pull, jalar)
(put, poner)
(raise, levantar)
(reach, alcanzar)
(read, leer)
(remain, permanecer)
(remember, recordar)
(report, reportar)
(require, requerir)
(return, regresar)
(run, correr)
(see, ver)
(sell, vender)
(send, enviar)
(serve, servir)
(set, establecer)
(she, ella)
(should, debería)
(show, mostrar)
(sit, sentarse)
(speak, hablar)
(spend, gastar)
(stand, estar de pie)
(stay, quedarse)
(stop, detener)
(suggest, sugerir)
(take, tomar)
(teach, enseñar)
(tell, decir)
(that, ese)
(the, la)
(their, su)
(these, estos)
(they, ellos)
(think, pensar)
(this, este)
(those, esos)
(to, a)
(town, pueblo)
(try, intentar)
(understand, entender)
(use, usar)
(wait, esperar)
(walk, caminar)
(want, querer)
(was, era)
(watch, observar)
(we, nosotros)
(went, fue)
(were, eran)
(will, será)
(win, ganar)
(woman, mujer)
(work, trabajar)
(would, haría)
(write, escribir)
(yes, sí)
(you, tú)
(your, tu)
